,person_age,person_income,person_emp_length,loan_amnt,cb_person_default_on_file,cb_person_cred_hist_length,other_payments,percent_of_income,loan_status
66,25,259000,9.0,20000,1,2,20956,0.0840180806909647,yes
67,24,255000,9.0,9600,0,2,4196,0.0382769014848248,yes
68,25,250000,2.0,25000,0,4,1588,0.10063926058322464,yes
69,25,12000,0.0,3000,0,3,11586,7.246376811594203,no
70,22,56950,6.0,28000,0,2,27393,0.9473221233548736,no
72,23,65000,2.0,28000,0,2,5798,0.4729569946961251,no
73,26,85000,2.0,28000,0,3,8425,0.36565458700620307,no
75,22,88000,6.0,28000,0,3,7311,0.3470113646221914,no
76,21,12000,0.0,4200,1,4,9583,1.737691352916839,no
78,24,83004,0.0,28000,1,4,3045,0.3501794669768256,no
79,24,250000,2.0,18000,1,3,17566,0.07744133818632386,yes
81,25,100000,5.0,28000,0,3,8417,0.3057335968465763,no
82,26,110000,10.0,28000,0,2,21180,0.3152443143436163,no
84,22,108000,6.0,28000,0,4,19370,0.31592011734175784,no
85,23,151200,7.0,28000,0,2,8555,0.19629149286690736,yes
86,24,69000,2.0,27600,0,2,3824,0.4234687615073033,no
87,21,12000,5.0,3250,1,3,4340,0.42428198433420367,no
88,22,70000,4.0,27500,1,3,20829,0.5592727420634114,no
89,22,240000,6.0,25000,0,2,8826,0.10814364937233426,yes
90,26,73200,5.0,27050,1,2,20239,0.5107531957478144,no
91,24,83000,5.0,27000,1,2,16347,0.40508304202361484,no
92,24,73399,0.0,27000,0,3,14329,0.4570848146267141,no
93,23,62500,7.0,26000,0,2,10414,0.49917444226855584,no
94,23,120000,1.0,25600,0,3,4868,0.22235347253587187,no
95,24,12360,2.0,1600,0,3,8199,0.38452295121365054,no
96,22,60000,0.0,25475,0,3,25173,0.7314727079564706,no
97,25,234000,3.0,20000,1,4,23727,0.09511444645770023,yes
98,24,234000,8.0,20000,0,4,27933,0.09705581194465877,yes
99,26,234000,10.0,21600,0,3,5865,0.09468078111644421,yes
100,25,221004,6.0,11900,1,3,13761,0.05742051601260356,yes
101,26,232500,0.0,25000,1,2,9670,0.1121931517300184,yes
102,25,230000,5.0,35000,0,4,7818,0.1575285126607916,yes
103,23,83000,7.0,25300,0,3,1611,0.3108528179483714,no
105,25,12600,3.0,1750,0,3,7837,0.36741549443627963,no
106,21,42500,3.0,25000,1,3,19682,1.095626259970199,no
107,24,41000,2.0,25000,0,3,6108,0.7164966181359624,no
108,25,12816,0.0,3000,1,4,3088,0.30838815789473684,no
109,24,12960,1.0,3650,0,3,6106,0.5325357455500438,no
110,26,226000,4.0,20000,0,4,13974,0.09432805410657183,yes
111,25,225000,0.0,30000,1,2,3743,0.13558893051971238,yes
112,26,213000,6.0,35000,0,2,5411,0.16860238259252658,yes
113,24,225000,0.0,6000,0,4,24902,0.029985307199472257,yes
114,24,12960,0.0,4500,0,4,11409,2.9013539651837523,no
116,22,42000,6.0,25000,1,2,17284,1.0114905324486163,no
117,26,48000,2.0,25000,0,4,1514,0.5377963257755023,no
120,25,42360,1.0,25000,1,3,22814,1.2790340734677172,no
121,21,49000,4.0,25000,0,2,6645,0.590249085113918,no
122,25,225000,0.0,25000,0,2,6246,0.11428362452800864,yes
123,26,225000,1.0,3000,0,4,23375,0.014879107253564786,yes
124,23,225000,8.0,7500,0,2,2764,0.03374790762972696,yes
125,26,225000,2.0,25000,0,2,20102,0.12201192788607014,yes
126,22,49464,5.0,25000,0,3,20520,0.8637368711995578,no
127,23,50000,1.0,25000,0,3,1179,0.512074721943426,no
128,25,50000,4.0,25000,0,2,18387,0.7908139056717173,no
129,24,44000,2.0,25000,0,2,16104,0.8961858330943504,no
130,23,50000,1.0,25000,0,4,13177,0.6789234989001439,no
131,22,50004,0.0,25000,0,2,25435,1.0175424315193944,no
132,22,50004,3.0,25000,0,3,18635,0.7969651566833498,no
133,22,52000,2.0,25000,0,4,6229,0.5461973738830264,no
134,23,13200,3.0,4950,0,4,6126,0.6997455470737913,no
135,24,220000,1.0,25000,0,2,17533,0.12347691228694059,yes
136,23,216000,5.0,21000,0,3,9263,0.10157833382510145,yes
137,25,216000,2.0,25000,0,3,1469,0.11653327491131818,yes
138,26,216000,10.0,20000,1,2,27228,0.10594791600449219,yes
139,23,215000,7.0,35000,1,3,19886,0.17938230982912554,yes
140,26,215000,11.0,12000,0,2,16842,0.06055773675551832,yes
141,23,52000,1.0,25000,0,2,22491,0.8471991595784337,no
142,26,46000,2.0,25000,0,4,9166,0.6787207471357984,no
143,22,53000,5.0,25000,1,4,29549,1.0660526203573408,no
144,26,47000,0.0,25000,1,2,6964,0.6244380057947847,no
145,23,47000,1.0,25000,0,2,9504,0.6667377853637722,no
147,21,13200,0.0,4500,0,4,3329,0.4558808631344342,no
148,22,210000,6.0,16000,0,4,26756,0.08731527362423872,yes
149,26,210000,10.0,22000,0,4,22365,0.11724891411517041,yes
150,26,48000,5.0,25000,0,2,28393,1.2750548273575764,no
151,22,54996,6.0,25000,0,4,27973,0.9251378455389853,no
152,24,55000,4.0,25000,1,4,6795,0.5186184005808526,no
153,23,55000,4.0,25000,0,3,26056,0.8637368711995578,no
154,23,55000,4.0,25000,1,3,19970,0.7136739937196689,no
155,24,55164,8.0,25000,1,4,11172,0.5682851427532278,no
156,26,56000,4.0,25000,0,2,26217,0.839405029714938,no
157,24,203500,8.0,20000,0,3,23402,0.11105065020155692,yes
158,23,190000,5.0,22000,1,3,9995,0.12221882725479848,yes
160,24,60000,0.0,25000,0,3,13592,0.5387002240992932,no
161,24,60000,2.0,25000,0,3,17244,0.584713256618954,no
162,26,54000,7.0,25000,1,2,11339,0.586015330161037,no
163,23,14000,2.0,4000,0,3,5770,0.48602673147023084,no
164,24,200000,8.0,12000,0,2,11263,0.06358053799731903,yes
165,24,200000,8.0,12000,0,2,8433,0.06264126911211221,yes
166,21,200000,5.0,16000,0,4,25497,0.09168896809796966,yes
167,25,54000,3.0,25000,0,4,21891,0.7785979009000592,no
168,23,60000,3.0,25000,0,3,27822,0.7769283361302753,no
169,23,60000,7.0,25000,0,4,2943,0.438158332895175,no
170,21,60000,6.0,25000,0,4,13090,0.5329354082285227,no
171,25,61959,9.0,25000,0,2,1326,0.41231672521564167,no
172,22,56400,2.0,25000,1,3,20371,0.6938854811401927,no
173,23,200000,7.0,28000,0,2,19016,0.15470980860186537,yes
174,21,200000,2.0,25000,0,2,10101,0.13164892916761015,yes
175,24,200000,3.0,24000,0,4,8204,0.12513295376337358,yes
176,26,200000,4.0,15000,0,3,2625,0.0759974667511083,yes
177,25,200000,2.0,15500,0,2,16261,0.08435879154670484,yes
178,24,200000,8.0,10000,0,4,28016,0.05814494371569448,yes
179,24,66000,3.0,25000,0,2,1540,0.3878374185541421,no
180,22,66000,6.0,25000,1,3,26039,0.6256099697204774,no
181,22,200000,6.0,9000,0,4,18083,0.04947311136397368,yes
183,25,200000,5.0,18000,0,3,24017,0.1022826068427064,yes
184,25,200000,2.0,12000,0,2,17639,0.0658035435208186,yes
185,25,200000,9.0,23050,0,3,22183,0.1296276508995203,yes
186,24,200000,8.0,20000,0,3,16686,0.10910241443643148,yes
187,24,60000,2.0,25000,1,2,1006,0.4237719090076957,no
189,26,66996,10.0,25000,1,2,4878,0.402459834508516,no
190,23,67000,3.0,25000,0,4,16445,0.4945109286915241,no
191,24,67000,2.0,25000,0,3,8914,0.4303963089212547,no
192,24,68000,5.0,25000,1,3,16815,0.4884243430692586,no
193,25,69000,9.0,25000,0,2,27681,0.6050485248916964,no
194,25,200000,0.0,12000,0,3,27471,0.06955352433503932,yes
195,26,188000,10.0,20000,0,2,26517,0.12385204634543574,yes
196,26,200000,4.0,3000,0,3,22062,0.016859805100653037,yes
197,25,69996,9.0,25000,0,3,23711,0.5401317921572864,no
198,22,14400,2.0,4000,0,3,3862,0.37957866767887644,no
199,24,70000,3.0,25000,0,4,7884,0.40247279283920406,no
200,24,14400,5.0,6000,0,3,11327,1.9524894240156199,no
201,24,56100,7.0,25000,0,4,13552,0.5875716837454169,no
202,25,66000,9.0,25000,1,2,12496,0.46725478468899523,no
203,26,66000,3.0,25000,0,4,24933,0.6087612925219763,no
205,25,72612,9.0,25000,0,2,3791,0.3632612138736723,no
206,23,74000,3.0,25000,0,3,17920,0.4457917261055635,no
207,25,75000,9.0,25000,0,2,14886,0.41587650131416976,no
208,24,192000,0.0,22000,1,2,12311,0.12243376055295538,yes
209,25,191000,1.0,10000,0,4,9266,0.05502547679575644,yes
210,26,190300,5.0,15000,0,3,4099,0.08055810656226337,yes
211,22,190000,3.0,10000,0,3,21655,0.059401823635985625,yes
212,24,75000,4.0,25000,0,4,5253,0.3584383557715744,no
213,22,71000,1.0,25000,1,4,2543,0.3651927487327812,no
214,26,190000,3.0,20000,0,4,6455,0.10896510392546786,yes
215,23,189996,0.0,24000,0,3,1338,0.12721432433291988,yes
216,23,78000,7.0,25000,1,2,23990,0.46287724495463806,no
217,23,78000,1.0,25000,0,3,15086,0.3973678354579267,no
218,23,78504,7.0,25000,0,3,17266,0.40824324765668374,no
219,25,186000,9.0,10000,0,4,19727,0.06014205553517408,yes
221,25,185000,6.0,15000,0,2,9174,0.0853116148919955,yes
222,24,62050,8.0,25000,1,2,13374,0.5136001314816336,no
223,23,79416,7.0,25000,1,2,20177,0.4220192778406118,no
224,21,14400,4.0,6250,0,2,4157,0.6101728009372254,no
225,24,79631,8.0,25000,1,2,7541,0.3467887363018449,no
226,24,79632,0.0,25000,0,4,1030,0.318058064680288,no
228,24,80000,6.0,25000,0,2,5730,0.3366096674296486,no
229,26,80000,5.0,25000,0,4,18003,0.4032453183218543,yes
230,22,185000,4.0,25000,0,2,16275,0.14817009927396652,yes
231,26,185000,10.0,5000,0,2,7329,0.028141902730327403,yes
232,24,184992,7.0,22000,1,4,29189,0.14120395627812043,yes
233,23,184000,5.0,2500,0,2,26525,0.015875535799333228,yes
234,24,172000,6.0,20000,1,4,10131,0.12355670326004362,yes
235,24,183000,2.0,20000,0,3,23876,0.12568814258062894,yes
236,22,183000,3.0,1000,0,2,7354,0.005693269416895346,yes
237,25,182952,9.0,15000,0,3,15974,0.08983219346261184,yes
238,23,74004,7.0,25000,0,4,8968,0.3844024847776616,no
239,26,74004,10.0,25000,1,4,11835,0.4021296787788126,yes
240,25,81000,5.0,25000,0,3,6955,0.33763252076440003,no
241,23,81600,1.0,25000,0,3,6265,0.33185106524191943,no
242,24,82000,8.0,25000,0,2,1515,0.31061688513387586,no
243,24,83000,5.0,25000,0,3,12376,0.35398731309469866,no
244,24,83000,5.0,25000,1,3,5256,0.32156822391438566,no
245,24,180000,8.0,18000,1,4,9106,0.10532844921413274,yes
246,23,180000,8.0,28000,0,3,27942,0.18414026226834498,yes
247,23,14400,2.0,4000,0,2,10094,0.9289363678588016,no
249,22,84500,6.0,25000,0,4,7148,0.3231978487951184,no
250,24,85000,5.0,25000,0,4,24661,0.41432572631299824,no
251,24,180000,7.0,14000,0,2,29861,0.09324692451661461,yes
252,26,180000,2.0,12000,0,4,9906,0.0705492257222477,yes
253,25,142800,9.0,10000,0,4,24905,0.08482123923830527,yes
254,23,14664,0.0,6000,0,4,8840,1.0302197802197801,no
255,24,87000,8.0,25000,0,3,6586,0.31089113835899224,no
256,24,75000,0.0,25000,1,3,10895,0.3899851805631386,no
257,23,76000,7.0,25000,0,4,22999,0.47168921341106773,no
258,23,66215,1.0,25000,1,2,8094,0.43013712771631596,no
259,25,90000,9.0,25000,0,4,18964,0.35193423053099837,no
260,21,15000,0.0,6200,0,2,9796,1.191391237509608,no
261,26,180000,2.0,25000,0,4,24802,0.16108455005863478,yes
262,24,180000,8.0,21000,0,3,23644,0.13430888485251605,yes
263,25,180000,9.0,20000,1,4,13113,0.11984156944519346,yes
264,26,180000,0.0,10000,0,4,21011,0.06289743315575291,yes
265,25,180000,3.0,9950,0,2,13825,0.05987663607642545,yes
267,23,78000,2.0,25000,1,3,14400,0.39308176100628933,no
268,25,66300,3.0,25000,1,4,3872,0.40046133145383483,no
269,23,90000,0.0,25000,0,3,29651,0.4142570713682083,no
270,24,79000,9.0,25000,1,4,5899,0.3419925856007442,no
271,24,91800,4.0,25000,1,3,8356,0.29960212837351996,no
272,25,92000,6.0,25000,0,3,5287,0.28830740488738715,no
273,24,92000,1.0,25000,1,4,25889,0.37815189605360683,no
274,23,93600,3.0,25000,0,4,9118,0.2959210245969556,no
275,23,15000,1.0,1750,1,3,6976,0.21809571286141574,no
276,23,70550,3.0,25000,1,4,1483,0.3619673650223696,no
277,25,83800,2.0,25000,1,3,5471,0.3191665921944618,no
278,26,175000,3.0,2600,0,4,21013,0.016884542201614422,yes
279,25,175000,10.0,8000,0,2,13550,0.04955094456488077,yes
280,22,175000,6.0,18000,0,2,12405,0.11070451120883176,yes
281,23,175000,8.0,21000,0,3,24663,0.13968617173417056,yes
282,23,15000,4.0,4000,0,4,9348,0.7077140835102619,no
283,23,15000,4.0,4600,0,2,14734,17.293233082706767,no
284,22,88000,6.0,25000,1,2,24063,0.3910099003706774,no
285,25,74800,2.0,25000,0,2,8713,0.3782892248097205,no
286,25,88000,0.0,25000,0,4,5932,0.30462543256811425,no
287,25,15000,2.0,1750,1,4,9387,0.3117762337430964,no
288,26,88000,2.0,25000,0,3,3246,0.2949713287868419,no
289,25,100000,1.0,25000,0,4,14718,0.29314509509626885,no
291,24,102400,8.0,25000,0,3,5596,0.25825379116565433,no
292,24,92000,1.0,25000,1,4,25706,0.3771080339095544,no
293,23,93000,0.0,25000,1,2,19958,0.3422688316311163,no
294,22,175000,6.0,3500,1,2,22124,0.022894371909259793,yes
295,23,175000,3.0,7200,0,3,5018,0.04235742608040852,yes
296,25,174708,9.0,9000,0,3,22847,0.05926472234477582,yes
297,25,174000,2.0,8800,0,3,11802,0.054254676383185985,yes
298,26,174000,8.0,12000,0,4,21582,0.07873085856001259,yes
299,25,162000,5.0,25000,1,3,14618,0.1696272272054932,yes
300,26,173467,10.0,10000,0,4,3651,0.058887266217553115,yes
301,21,15000,0.0,3175,1,3,11849,1.0076166296413838,no
302,25,96000,2.0,25000,1,4,4663,0.2737116393137502,no
303,21,15120,0.0,1500,0,2,2617,0.11997120691034152,yes
304,24,97908,8.0,25000,1,2,2309,0.26150901160053974,no
305,26,110000,3.0,25000,1,2,14522,0.2618404239720145,no
307,25,159600,0.0,30000,1,4,22382,0.2186302088647262,no
308,24,171500,6.0,18000,0,4,1363,0.1057970929309909,yes
309,25,170004,3.0,10000,0,4,5160,0.0606634151076169,yes
310,24,158004,0.0,25000,1,2,16363,0.17650256634731468,yes
311,26,170000,0.0,13000,0,3,8512,0.08050133756068563,yes
312,24,83300,0.0,25000,0,2,27551,0.44843853701411684,no
313,24,110000,7.0,25000,1,2,3886,0.23559568011760937,no
314,22,15360,7.0,2500,0,3,6179,0.2723014922121773,no
315,25,134300,3.0,5000,0,2,29585,0.04774865110060641,yes
316,25,170000,2.0,20000,0,2,23920,0.13691128148959475,yes
317,22,100580,6.0,25000,1,2,27719,0.34311908977367866,no
318,25,113000,7.0,25000,1,4,27065,0.29091755396520624,no
319,24,120000,8.0,25000,0,4,10703,0.2287345489812163,no
320,25,120000,6.0,25000,0,2,26257,0.2666865792645851,no
321,23,120000,7.0,25000,0,2,25539,0.26465948910132225,no
322,24,91800,5.0,25000,1,2,16309,0.33116530447338094,no
324,26,108000,2.0,25000,0,3,7436,0.24859790780000796,no
325,26,129996,6.0,25000,0,3,8631,0.20599019486672435,yes
326,23,130000,4.0,25000,1,2,14723,0.21686893309159677,no
327,23,130000,7.0,25000,0,4,2091,0.19545145376791312,yes
328,25,170000,4.0,20000,0,4,12269,0.1267981563548066,yes
329,26,170000,0.0,12000,1,2,25318,0.08294051782529963,yes
330,22,169000,1.0,14000,0,3,13459,0.09000842221665027,yes
331,26,168750,10.0,24250,1,3,17938,0.1607962231122192,yes
332,23,168600,3.0,20000,0,3,18694,0.13341694128320414,yes
333,24,168288,5.0,1800,0,3,4072,0.010961173089102157,yes
334,25,168000,2.0,35000,0,2,5726,0.21568458286601674,no
335,24,133300,6.0,25000,0,2,19782,0.22022939093359645,no
336,24,15600,5.0,3300,0,4,3270,0.26763990267639903,no
337,24,134000,8.0,25000,1,3,23872,0.22700857184367282,no
338,25,134000,7.0,25000,0,2,17030,0.21373001624348123,no
339,25,15600,0.0,3200,0,2,14999,5.324459234608985,no
340,25,135000,5.0,25000,0,4,6029,0.19384202650208188,yes
341,26,135660,10.0,25000,0,4,3599,0.18930645686463074,yes
342,25,145000,0.0,25000,0,4,13470,0.1900707063027446,yes
343,23,150000,4.0,25000,0,3,6655,0.1744044089434581,yes
344,23,165000,3.0,9600,0,3,2854,0.05920590085478519,yes
345,22,153000,5.0,24000,1,2,26951,0.19040214519750256,yes
346,24,165000,5.0,20000,0,4,28150,0.1461454146876142,yes
347,25,165000,0.0,25000,0,4,18140,0.17023015116437423,yes
348,21,165000,5.0,20000,0,4,29896,0.14803410705826622,yes
350,23,16000,3.0,2275,1,4,13586,0.9424192212096106,no
351,23,16000,7.0,2000,0,3,14818,1.6920473773265652,no
352,23,148000,1.0,25000,0,3,15341,0.1884531015611455,yes
353,23,16000,1.0,5600,0,4,8307,0.7279344858962693,no
355,22,16094,2.0,5500,0,3,1205,0.3694002283565048,no
356,25,175000,2.0,25000,0,2,18300,0.1595405232929164,yes
357,22,16200,6.0,2000,0,3,6137,0.19874788830368678,yes
358,24,185000,7.0,25000,1,2,26458,0.1576869220774306,yes
359,25,162000,9.0,25000,0,2,17296,0.17276647501105705,yes
360,26,161000,10.0,30000,0,4,10647,0.1995304383683731,yes
361,22,160000,0.0,35000,0,4,19913,0.24984473934055265,no
362,25,225000,5.0,25000,0,4,10755,0.11668883754580037,yes
363,25,16400,1.0,5000,0,4,2086,0.3493083694285315,no
364,23,16500,6.0,4375,0,4,13610,1.513840830449827,no
365,25,49500,6.0,24750,0,3,18549,0.799651061355045,no
366,23,60000,4.0,24750,0,3,26776,0.7449434143992295,no
367,24,84200,8.0,24500,0,4,21161,0.3886482970859309,no
368,22,16800,5.0,2000,0,2,5975,0.18475750577367206,yes
369,24,92000,8.0,24500,0,4,26528,0.37420576735092864,no
370,23,160000,5.0,35000,0,2,24875,0.2590194264569843,no
371,24,160000,9.0,12000,0,4,25868,0.08946410998121254,yes
372,25,160000,1.0,12000,0,4,18631,0.0848842391189016,yes
373,26,160000,6.0,25000,1,4,23243,0.18280599896166191,yes
374,25,125800,0.0,10000,0,4,5025,0.0827985924239288,yes
375,25,54000,2.0,24250,0,4,12971,0.5910453581613005,no
376,23,62500,1.0,24250,0,4,8444,0.44860885008139706,no
378,25,68400,9.0,24250,0,4,26318,0.5762558813744594,no
379,26,56045,1.0,24250,0,2,28714,0.8872708645860012,no
380,22,74000,7.0,24250,1,2,18375,0.43595505617977526,no
381,24,65453,9.0,24250,0,2,19430,0.526910457814571,no
382,24,89908,1.0,24250,0,3,12802,0.3145021139729723,no
383,26,78000,0.0,24250,1,3,2430,0.32089453486833397,no
384,23,100000,0.0,24250,1,2,7991,0.2635611733634753,no
385,23,103000,6.0,24250,0,2,28652,0.3261688276752569,no
386,25,160000,2.0,9000,0,3,2781,0.05724498947328249,yes
387,25,160000,5.0,15000,0,4,3863,0.09606947744608901,yes
388,24,160000,3.0,20000,0,3,24294,0.14737741883188657,yes
389,23,160000,2.0,25000,1,2,15635,0.17317216776919614,yes
390,26,160000,0.0,13750,0,4,6325,0.08947454042622417,yes
391,21,160000,3.0,15250,1,4,18725,0.10794549637232348,yes
392,25,160000,3.0,20000,1,2,16314,0.13919240566234706,yes
393,22,16800,0.0,4750,1,2,3140,0.34773060029282576,no
394,25,111996,9.0,24250,0,3,16329,0.25348343733993955,no
395,21,16800,0.0,6000,0,4,14414,2.5146689019279127,no
396,25,115200,0.0,24250,0,2,26089,0.2721325088934026,no
397,23,144000,0.0,24250,0,3,10807,0.1820666251229419,yes
398,23,287000,3.0,24250,0,3,27798,0.09355637687980803,yes
399,22,108000,1.0,24150,1,3,17808,0.2677621075039915,no
400,22,43000,7.0,24000,1,3,6733,0.661758623542063,no
401,23,47004,1.0,24000,0,4,15202,0.7546695176404,no
402,24,48000,4.0,24000,1,2,3520,0.539568345323741,no
403,26,48000,4.0,24000,0,3,17829,0.7954658446852938,no
404,21,44964,2.0,24000,1,2,21290,1.0137703810087015,no
407,24,47000,3.0,24000,0,2,11024,0.66711140760507,no
408,22,17400,6.0,1000,0,2,11574,0.17164435290078955,yes
409,22,49000,2.0,24000,0,4,20826,0.8518492226875843,no
410,26,60000,0.0,24000,0,4,25422,0.6940829429116779,no
411,25,60000,3.0,24000,0,4,17066,0.5589975310942377,no
412,22,60000,0.0,24000,0,3,18102,0.572819704997852,no
413,21,60000,5.0,24000,0,2,27418,0.7366030323491498,no
414,26,62004,9.0,24000,0,3,10568,0.46659926899447857,yes
415,22,62400,3.0,24000,0,2,22440,0.6006006006006006,no
416,26,65000,10.0,24000,0,2,7965,0.4207942491452617,no
417,22,17760,6.0,4975,1,3,3850,0.3576563623292595,no
418,23,59000,5.0,24000,1,2,19787,0.6120419248718537,no
419,23,66000,6.0,24000,0,4,22757,0.5550031218925606,no
420,24,60000,0.0,24000,0,4,26565,0.7178106774338269,no
421,25,66143,9.0,24000,0,3,6074,0.3995405283923488,no
422,22,62250,3.0,24000,1,4,19877,0.5663984140844406,no
423,24,70000,8.0,24000,0,4,9429,0.3962292186029618,no
424,23,74000,7.0,24000,0,2,8545,0.36666412038805285,no
426,22,75000,6.0,24000,0,4,1706,0.3274483586651022,no
427,24,75000,9.0,24000,0,3,18660,0.42598509052183176,no
428,24,75000,7.0,24000,0,3,1603,0.3269888415057836,no
429,26,69000,0.0,24000,0,3,1361,0.35482487913777555,no
430,23,78000,4.0,24000,0,3,24194,0.44604690926662455,no
432,24,80000,2.0,24000,0,2,2366,0.30914290130612876,no
434,23,18000,3.0,4000,0,2,2960,0.26595744680851063,no
435,23,74700,6.0,24000,0,2,6489,0.351849408453182,no
436,26,88596,3.0,24000,0,3,20207,0.3509336296772873,no
437,25,95000,4.0,24000,0,2,24246,0.3392034372614976,no
438,22,83000,6.0,24000,0,3,19961,0.38071669918621803,no
439,25,95000,9.0,24000,0,4,15145,0.3005447373364223,no
442,26,100000,5.0,24000,0,4,9128,0.2641077559644335,yes
443,24,110000,7.0,24000,0,4,4749,0.22802633704192835,no
444,24,18000,0.0,6250,0,4,12366,1.1093361732339369,no
445,22,98000,7.0,24000,1,2,21377,0.3132218785482166,no
446,26,103872,6.0,24000,0,4,2202,0.23605783416937148,yes
447,22,120000,4.0,24000,0,4,1069,0.20179768100831574,no
448,24,120000,1.0,24000,0,4,13847,0.2260887586785112,no
449,26,108000,9.0,24000,0,3,2812,0.22816290831653802,yes
450,24,124080,4.0,24000,1,4,29752,0.25443134594182004,no
451,23,18000,1.0,2500,0,2,4895,0.19076688286913393,yes
452,24,130000,7.0,24000,0,3,15004,0.20870291140561412,no
453,25,135000,8.0,24000,0,2,25541,0.21926017961063046,no
454,24,135000,4.0,24000,0,2,20010,0.20871380120010435,no
455,23,114750,2.0,24000,1,3,28966,0.2797724517392521,no
456,23,150000,0.0,24000,0,4,3292,0.16359026092646617,yes
457,23,138000,7.0,24000,1,2,4043,0.1791619698858589,yes
459,21,18000,0.0,6250,0,4,16844,5.406574394463668,no
460,26,155000,7.0,24000,0,4,13816,0.1699909338168631,yes
461,26,148000,1.0,24000,0,2,18458,0.18526809837736025,yes
462,26,170000,3.0,24000,1,2,8105,0.14824423237283424,yes
464,24,43896,8.0,23975,0,2,22485,1.119751529587595,no
465,23,120000,4.0,23750,0,2,5113,0.20672486878410962,no
466,24,54996,2.0,23600,0,3,1764,0.44334235046588516,no
467,24,18000,0.0,10000,0,2,5175,0.7797270955165692,no
468,25,102000,9.0,23600,0,4,10941,0.2591726243424593,no
469,23,75000,3.0,23575,0,4,12813,0.3790985254152797,no
471,22,18000,1.0,5400,1,2,9491,0.6346221647667176,no
